AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Handley Page W-10,English Channel,W10/3,English Channel,10/21/1926,English Channel,Imperial Airways,G-EBMS,Croydon - Paris,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",12/30/1899 1:15:00 PM,12,2,10,1,0,0,0,,0
Breguet 14,Cape Bojador,198, Morocco,11/11/1926,"Cape Bojador, Morocco",Grands Express Aeriens,F-AFAX,Casablanca -Dakar,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.",12/30/1899 8:00:00 AM,3,0,3,1,3,0,3,,0
Ryan M-1,Medford,, Oregon,12/16/1926,"Medford, Oregon",Pacific Air Transport,2,,The postal plane crashed into a mountain slope in foggy conditions.,,1,1,0,1,1,1,0,,0
Fokker F-VII,Estaires,4938, France,1/12/1927,"Estaires, France",Fokker,G-EBPL,Delivery flight,The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.,,0,2,0,1,0,2,0,,0
Breguet 14,Rabat,, Morocco,3/20/1927,"Rabat, Morocco",Grands Express Aeriens,F-ALRA,Casablanca - Oran,Unknown.,,1,1,0,1,1,1,0,,0
de Havilland DH-9C,Tambo,86, Australia,3/24/1927,"Tambo, Qld, Australia",Qantas,G-AUED,Charleville - Tambo - Blackall,"While attempting to land, the engine failed, the aircraft stalled and crashed.",,3,1,2,1,3,1,2,,0
Swallow Swallow,King Hill,A28, Idaho,4/15/1927,"King Hill, Idaho",Varney Air Lines,,,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,,1,1,0,1,1,1,0,,0
Fokker FG III,Floh,1567, Germany,4/22/1927,"Floh, Germany",Deutsche Lufthansa,D-729,Charleville - Tambo - Blackall,Crashed following engine failure.,,2,1,1,1,2,1,1,,0
Douglas M-4,Goshen,, Indiana,4/22/1927,"Goshen, Indiana",US Aerial Mail Service,626,,Crashed into a field during a snow storm.,,1,1,0,1,1,1,0,,0
SPCA Meteore 63,Algiers,, Algeria,5/2/1927,"Algiers, Algeria",Air Union,F-AIFN,,The three engine seaplane stalled and crashed into the sea shortly after taking off.,,3,3,0,1,1,1,0,,0
Junkers F-13,Amoneburg,591, Germany,7/27/1927,"Amoneburg, Germany",Deutsche Lufthansa,D-206,Kassel - Frankfurt,Crashed after experiencing engine failure and attempting to make a forced landing.,,5,2,3,1,5,2,3,,0
Fokker F-VIII,Sevenoaks,4993, England,8/22/1927,"Sevenoaks, England",KLM Royal Dutch Airlines,H-NADU H-NADU,Croydon - Schiphol,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",12/30/1899 8:30:00 AM,11,2,9,1,1,1,0,,0
Fokker Universal,Willington,405, Connecticut,9/3/1927,"Willington, Connecticut",Colonial Air Transport,NC52  	 NC52,,The postal plane crashed for unknown reasons.,,1,1,0,1,1,1,0,,0
Fokker F-VII,Hadley,4840, New Jersey,9/17/1927,"Hadley, New Jersey",Reynolds Airways,NC776,Sightseeing,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,,12,1,11,1,7,1,6,,0
Fokker F7,Atlantic Ocean,4899/0501,Atlantic Ocean,9/17/1927,Atlantic Ocean,Private,NX703,Old Orchad Beach - Rome,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",12/30/1899 4:05:00 AM,3,2,1,1,3,2,1,,0
Dornier Merkur,Schleiz,75, Germany,9/23/1927,"Schleiz, Germany",Deutsche Lufthansa,D-585,Berlin - Munich,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,12/30/1899 10:00:00 AM,6,2,4,1,6,2,4,,0
Breguet 14,Thies,229, Mauritania,10/6/1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,F-AGBN,Saint Louis - Dakar,The plane crashed while attempting to land at Dakar.,,2,2,0,1,2,2,0,,0
Fairchild FC-2,New Brunswick,20, New Jersey,10/30/1927,"New Brunswick, New Jersey",Colonial Air Transport,,,Went into a tailspin and crashed into a corn field about 10 km from the airport.,,4,1,3,1,4,1,3,,0
Farman F-121 Jabiru,Strasburg,1, France,11/8/1927,"Strasburg, France",CIDNA,F-AIBR,Strasbourg - Paris,The mail plane crashed shortly after taking off.,,1,1,0,1,1,1,0,,0
Junkers F-13,Over the Gulf of Finland,798,Over the Gulf of Finland,11/16/1927,Over the Gulf of Finland,Aero O-Y,K-SALD,Tallinn - Helsinki,Crashed in the gulf of Finland and never found.,,6,2,4,1,6,2,4,,0
Douglas M-4,Corunna,PO641, Indiana,11/29/1927,"Corunna, Indiana",National Air Transport,NC62  	 NC1062,,The postal plane crashed at night in poor weather.,,1,1,0,1,1,1,0,,0
Breguet 14,Almeria,227, Spain,12/28/1927,"Almeria, Spain",Aeropostale,F-AFGS,Dakar - Casablanca - Alicante - Perpignan - Toulouse,A fire erupted aboard the mail plane while en route and crashed.,,1,1,0,1,1,1,0,,0
LatécoÃ¨re 23 (flying boat),Near Marseille,23-1,France,12/31/1927,"Near Marseille,France",Latecoere Airlines,F-AIHP,Test flight,"Suffered structural failure at an altitude of 1,000 ft.",,5,5,0,1,5,5,0,,0
Fairchild FC-2,Near Canajoharie,39, New York,1/8/1928,"Near Canajoharie, New York",Colonial Western Airlines,NC3780,Minola - Albany - Buffalo,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..,,3,2,1,1,3,2,1,,0
Latecoere 25,Solis,633, Uruguay,1/16/1928,"Solis, Uruguay",Aeropostale,F-AIKG,Buenos Aires - Montevideo,The wing on the mail plane detached from the aircraft and crashed into the sea.,,2,2,0,1,2,2,0,,0
Breguet 14,L'Hospitalet,, AriÃ¨ge,1/22/1928,"L'Hospitalet, AriÃ¨ge",Aeropostale,F-AHEQ,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Crashed after experiencing mechanical difficulties.,,1,1,0,1,1,1,0,,0
Breguet 14,Tarragona,240, Spain,1/22/1928,"Tarragona, Spain",Aeropostale,F-AHEQ,Casablanca - Alicante - Perpignan - Toulouse,Crashed in unknown circumstances.,,2,2,0,1,2,2,0,,0
Breguet 14,Almeria,162, Spain,1/27/1928,"Almeria, Spain",Aeropostale,F-AFHN,Casablanca - Alicante - Perpignan - Toulouse,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.,,1,1,0,1,1,1,0,,0
Boeing 40,Marquette,891, Nebraska,2/26/1928,"Marquette, Nebraska",Boeing Air Transport,NC280,,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,,2,1,1,1,1,0,1,,0
Farman F-60 Goliath,Off Cape Griz Nez,62/6943, France,3/11/1928,"Off Cape Griz Nez, France",Air Union,F-AEFC,Paris - Croydon,Crashed into the sea while delivering mail in poor weather.,,2,2,0,1,2,2,0,,0
Boeing 40,Federal,893, Wyoming,4/17/1928,"Federal, Wyoming",Boeing Air Transport,NC282 NC282,,Spatial disorientation after entering a snowstorm.,,2,1,1,1,1,0,1,,0
Rohrbach Roland,Minuesa,36, Spain,4/19/1928,"Minuesa, Spain",Iberia Airlines,M-CCCC,Barcelona - Madrid,Crashed into a field after getting lost in fog.,,9,2,7,1,9,2,7,,0
Latecoere 26,Florianopolis,671, Brazil,5/7/1928,"Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil",Aeropostale,F-AIMQ,,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,,5,2,3,1,1,0,1,,0
Ford 4,Dearborn,4-AT-001, Minnesota,5/12/1928,"Dearborn, Minnesota",Ford Air Freight Inc.,NC1492,Dearborn - Buffalo,The cargo plane crashed on itâ€™s inaugural flight. The pilot tried to become airborne without sufficient speed.,,2,2,0,1,2,2,0,,0
Junkers F-13,Radevormwald,742, Germany,5/26/1928,"Radevormwald, Germany",Deutsche Lufthansa,D-583,Essen - Dortmund - Frankfurt,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.",,5,1,4,1,3,1,2,,0
AEGK,Frankfurt,439, Germany,6/14/1928,"Frankfurt, Germany",Deutsche Lufthansa,D-74,,"The ""Viper"" crashed for unknown reasons.",,5,1,4,1,5,1,4,,0
Douglas M-4,Lebo,628, Kansas,6/22/1928,"Lebo, Kansas",National Air Transport,NC1059,Chicago - Dallas,The mail plane flew into tornado like winds and crashed in a field.,,1,1,0,1,1,1,0,,0
Junkers F-13,Over the Gulf of Finland,760,Over the Gulf of Finland,7/10/1928,Over the Gulf of Finland,Aero O-Y,K-SALB,Tallinn - Helsinki,Crashed under unknown circumstances,,6,2,4,1,6,2,4,,0
Vickers 74 Vulcan,Purley,9, England,7/13/1928,"Purley, England",Imperial Airways,G-EBLB,Testing,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.",,6,1,5,1,4,0,4,,0
Fokker (KLM) F.III,Waalhaven,1533 (KLM-1), Netherlands,7/24/1928,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,H-NABR,Sightseeing over Rotterdam,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.",12/30/1899 2:48:00 PM,6,1,5,1,1,0,1,,0
Ford 4-AT-B Tri Motor,Near Port Townsend,4-AT-26, Canada,8/25/1928,"Near Port Townsend, BC, Canada",British Columbia Airways,G-CATX,Victoria - Seattle,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,12/30/1899 11:00:00 AM,7,2,5,1,7,2,5,,0
Bleriot Spad 33,Toul,7-May, France,9/2/1928,"Toul, France",CIDNA,F-AIEP,Toul - Clermont-Ferrand,"After taking off the engine failed, the plane stalled and crashed.",,5,3,2,1,5,3,2,,0
de Havilland DH.50J,Adelaide Hills,5, Australia,9/4/1928,"Adelaide Hills, Australia",Qantas,G-AUHI,Adelaide - Longreach,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.",,2,2,0,1,1,1,0,,0
Fokker Super Universal,Pocatello,809, Idaho,9/4/1928,"Pocatello, Idaho",National Parks Airways,NC7242,Great Falls - Pocatello - Salt Lake City,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.",12/30/1899 11:30:00 AM,7,1,6,1,7,1,6,,0
Fokker FG III,Heroldbach,1531, Germany,9/6/1928,"Heroldbach, Germany",Deutsche Lufthansa,D-180,,Crashed due to engine failure.,,3,1,2,1,3,1,2,,0
Breguet 14,Gerona,159, Spain,10/4/1928,"Gerona, Spain",Aeropostale,F-AEEJ F-AEEJ,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of LlancÃ ,",,3,1,2,1,3,1,2,,0
Douglas M-4,Polk,658, Pennsylvania,10/18/1928,"Polk, Pennsylvania",National Air Transport,NC1064,,The mail plane crashed into a hill and burned during the night during poor weather conditons.,,1,1,0,1,1,1,0,,0
Bleriot Spad 56,Valence,4381.9, France,10/31/1928,"Valence, France",Air Union,F-AIMN,Paris - Lyon - Marseille,The pilot attempted an emergency landing in a muddy field and crashed.,,2,1,1,1,1,1,0,,0
Latecoere 32,Off Gibraltar,80,Off Gibraltar,11/15/1928,Off Gibraltar,Aeropostale,F-AISN,Marseille - Palma de Majorca,The sea plane stuck a lightning mast and crashed into houses. Pilot error.,,3,3,,1,1,1,0,,0
Hamilton H-47,Edgerton,46, Ohio,11/24/1928,"Edgerton, Ohio",Universal Airlines,NC7521,Cleveland - Chicago,The mail plane crashed in a heavy snow storm.,,3,1,2,1,3,1,2,,0
Travel Air 4000,Edgerton,525, Ohio,11/25/1928,"Edgerton, Ohio",Continental Air Lines,NC5436,Cleveland - Louisville,The mail plane crashed in a heavy snow storm,,1,1,0,1,1,1,0,,0
Douglas M-4,Bristolville,650, Ohio,11/25/1928,"Bristolville, Ohio",National Air Transport,NC792,,The mail plane crashed in a snow storm.,,1,1,0,1,1,1,0,,0
Ford 4-AT-B Tri Motor,Spur,4-AT-47, Texas,12/1/1928,"Spur, Texas",Sunbeam Air Transport Co.,NC7862,San Antonio - Amarillo - Tulsa - Denver,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.,12/30/1899 10:00:00 AM,5,1,4,1,5,1,4,,0
Dornier Wal,Near Rio de Janeiro,83,Brazil,12/3/1928,"Near Rio de Janeiro,Brazil",Syndicato Condor,P-BACA,Sightseeing,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastic limits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",12/30/1899 8:00:00 AM,14,5,9,1,14,5,9,,0
Ford Tri-motor 4,Spokan,4-AT-045, Washington,12/10/1928,"Spokan, Washington",Spokane Airways,NC7687,Colfax - Spokane,The aircraft crashed while attempting to land in fog.,12/30/1899 10:45:00 AM,5,2,3,1,5,2,3,,0
Junkers G-31,Letzlingen,3005, Germany,12/11/1928,"Letzlingen, Germany",Deutsche Lufthansa,D-1473,Cologne -  Berlin,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames.",,4,3,1,1,3,3,0,,0
Douglas M-4,Huron,653, Ohio,12/20/1928,"Huron, Ohio",National Air Transport,NC790,Cleveland - Chicago,The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation.,,1,1,0,1,1,1,0,,0
Fairchild FC-2,Chattanooga,, Tennessee,12/23/1928,"Chattanooga, Tennessee",Interstate Airlines,,,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up properly.,,4,1,3,1,4,1,3,,0
Blériot Spad 66,Reims,3359-40, France,12/31/1928,"Reims, France",CIDNA,F-AEHX,Strasbourg - Paris,Crashed into high ground in fog.,,3,1,2,1,2,0,2,,0
Fairchild FC-2,Stafford Springs,111, Connecticut,1/5/1929,"Stafford Springs, Connecticut",Colonial Air Transport,NC5650,,Struck a mountain slope  in poor weather.,,1,1,0,1,1,1,0,,0
Stearman C-38,Cove,102, Oregon,1/18/1929,"Cove, Oregon",Varney Air Lines,NC1682,"Boise, ID - Pasco, WA",While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot.,,1,1,0,1,1,1,0,,0
CMASA Wal,Near Corfu,53, Greece,1/25/1929,"Near Corfu, Greece",Aeroespresso,I-AZDA,Brindisi - Athens - Istanbul,The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas.,,9,2,7,1,2,2,7,,0
Latecoere 26,Off Morocco,674,Off Morocco,1/31/1929,Off Morocco,Aeropostale,F-AIMU F-AIMU,Agadir - Casablanca,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons.",,2,2,0,1,2,2,0,,0
Travel Air 4000,Morgantown,800, West Virginia,1/31/1929,"Morgantown, West Virginia",Skyline Transportation Company,NC6480,,"While attempting to land, the aircraft overran the runway and hit the perimeter fence.",,1,1,0,1,1,1,0,,0
Ford 5-AT-B Tri Motor,Newark,4-AT-41, New Jersey,3/17/1929,"Newark, New Jersey",Colonial Western Airlines,NC7683,Sightseeing,The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.,12/30/1899 5:00:00 PM,15,2,13,1,14,1,13,,0
Fokker F-VIIA,Near Beaumont,617, California,3/30/1929,"Near Beaumont, California",New Standard Airlines,NC7888,Los Angeles - Phoenix - El Paso,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",12/30/1899 9:18:00 AM,4,1,3,1,4,1,3,,0
Ford 5-AT-B Tri-Motor / B-PW-9D,San Diego,4-AT-010, California,4/21/1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,NC9636 / 28-037,San Diego - Phoenix,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",12/30/1899 11:45:00 AM,6,3,3,1,6,3,3,,0
Ford Tri-motor 4,Tampico,, Mexico,5/9/1929,"Tampico, Mexico",Mexicana,M-SCAL,"Tampico - Brownsville, TX","An engine failed, the plane stalled and crashed.",,5,1,4,1,5,1,4,,0
